,State,HC01_VC43,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC63,HC03_VC63,HC01_VC64,HC03_VC64,HC01_VC65,HC03_VC65,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC69,HC03_VC69,HC01_VC70,HC03_VC70,HC01_VC71,HC03_VC71,HC01_VC72,HC03_VC72,HC01_VC73,HC03_VC73,HC01_VC74,HC03_VC74,HC01_VC77,HC03_VC77,HC01_VC78,HC03_VC78,HC01_VC79,HC03_VC79,HC01_VC80,HC03_VC80,HC01_VC81,HC03_VC81,HC01_VC82,HC03_VC82,HC01_VC83,HC03_VC83,HC01_VC87,HC03_VC87,HC01_VC88,HC03_VC88,HC01_VC89,HC03_VC89,HC01_VC90,HC03_VC90,HC01_VC91,HC03_VC91,HC01_VC92
31,New Jersey,8915456,6075710,68.1,1207221,13.5,18470,0.2,1272,0.0,77,0.0,176,0.0,104,0.0,819208,9.2,349901,3.9,151206,1.7,117521,1.3,13501,0.2,97161,1.1,22543,0.3,67375,0.8,2811,0.0,760,0.0,683,0.0,265,0.0,1103,0.0,566323,6.4,225713,2.5,67869,0.8,18213,0.2,45048,0.5,8707,0.1,8915456,8915456,6251613,70.1,1320790,14.8,60563,0.7,892474,10.0,11909,0.1,624673,7.0,8915456,8915456,1719831,19.3,238309,2.7,470954,5.3,90368,1.0,920200
32,New Mexico,2082669,1530636,73.5,41957,2.0,193295,9.3,1292,0.1,551,0.0,115630,5.6,1012,0.0,29168,1.4,3908,0.2,6249,0.3,6396,0.3,1982,0.1,1925,0.1,4628,0.2,4080,0.2,1340,0.1,542,0.0,160,0.0,186,0.0,452,0.0,218476,10.5,67797,3.3,8767,0.4,16344,0.8,9707,0.5,1942,0.1,2082669,2082669,1585210,76.1,56977,2.7,217890,10.5,46392,2.2,3568,0.2,244641,11.7,2082669,2082669,995831,47.8,647941,31.1,8254,0.4,4042,0.2,335594
33,New York,19697457,12667413,64.3,3073278,15.6,75751,0.4,3635,0.0,547,0.0,329,0.0,309,0.0,1599216,8.1,358647,1.8,677322,3.4,113583,0.6,38222,0.2,130859,0.7,29899,0.2,250684,1.3,7528,0.0,2165,0.0,987,0.0,745,0.0,3631,0.0,1697831,8.6,576440,2.9,158859,0.8,57867,0.3,105028,0.5,21958,0.1,19697457,19697457,13108709,66.6,3356579,17.0,200677,1.0,1770270,9.0,28765,0.1,1864170,9.5,19697457,19697457,3661929,18.6,475579,2.4,1104443,5.6,74770,0.4,2007137
34,North Carolina,9940828,6882915,69.2,2137131,21.5,117479,1.2,15589,0.2,891,0.0,572,0.0,690,0.0,254550,2.6,76306,0.8,44040,0.4,21303,0.2,6225,0.1,19736,0.2,33214,0.3,53726,0.5,6588,0.1,2095,0.0,1486,0.0,637,0.0,2370,0.0,298795,3.0,243370,2.4,87287,0.9,41303,0.4,35376,0.4,17960,0.2,9940828,9940828,7087472,71.3,2273010,22.9,194472,2.0,307524,3.1,15508,0.2,329774,3.3,9940828,9940828,884763,8.9,525071,5.3,90061,0.9,23792,0.2,245839
35,North Dakota,736162,649730,88.3,14761,2.0,38369,5.2,267,0.0,16070,2.2,252,0.0,10873,1.5,9296,1.3,1731,0.2,1794,0.2,1686,0.2,269,0.0,507,0.1,745,0.1,2564,0.3,336,0.0,127,0.0,113,0.0,47,0.0,49,0.0,5691,0.8,17979,2.4,3309,0.4,8610,1.2,2527,0.3,328,0.0,736162,736162,666676,90.6,19443,2.6,48021,6.5,12497,1.7,1234,0.2,7238,1.0,736162,736162,22997,3.1,16378,2.2,1565,0.2,303,0.0,4751
36,Ohio,11586941,9519506,82.2,1421943,12.3,21459,0.2,4894,0.0,544,0.0,617,0.0,768,0.0,224520,1.9,73098,0.6,54350,0.5,16745,0.1,10127,0.1,16074,0.1,15074,0.1,39052,0.3,3248,0.0,1199,0.0,553,0.0,416,0.0,1080,0.0,98088,0.8,298177,2.6,139975,1.2,49619,0.4,42070,0.4,11565,0.1,11586941,11586941,9789856,84.5,1600622,13.8,99097,0.9,281256,2.4,10812,0.1,126039,1.1,11586941,11586941,400932,3.5,192026,1.7,114036,1.0,9541,0.1,85329
37,Oklahoma,3875589,2823497,72.9,281295,7.3,286231,7.4,110276,2.8,377,0.0,1182,0.0,1083,0.0,77541,2.0,13421,0.3,11298,0.3,6428,0.2,2469,0.1,6386,0.2,19801,0.5,17738,0.5,4969,0.1,1079,0.0,677,0.0,335,0.0,2878,0.1,102292,2.6,299764,7.7,35212,0.9,195762,5.1,15512,0.4,18966,0.5,3875589,3875589,3095795,79.9,349542,9.0,516670,13.3,100332,2.6,9237,0.2,119449,3.1,3875589,3875589,381467,9.8,315277,8.1,13385,0.3,2770,0.1,50035
38,Oregon,3982267,3387825,85.1,74012,1.9,45233,1.1,3435,0.1,1497,0.0,432,0.0,1128,0.0,160155,4.0,20307,0.5,37895,1.0,17466,0.4,13386,0.3,15582,0.4,27950,0.7,27569,0.7,14936,0.4,3887,0.1,1430,0.0,1948,0.0,7671,0.2,124565,3.1,175541,4.4,23398,0.6,65540,1.6,41457,1.0,2151,0.1,3982267,3982267,3549514,89.1,108436,2.7,123385,3.1,217489,5.5,30528,0.8,143936,3.6,3982267,3982267,494806,12.4,416105,10.4,11859,0.3,5137,0.1,61705
39,Pennsylvania,12783977,10402743,81.4,1410563,11.0,24947,0.2,3096,0.0,361,0.0,264,0.0,635,0.0,401979,3.1,120516,0.9,103565,0.8,24536,0.2,6902,0.1,40258,0.3,42515,0.3,63687,0.5,4463,0.0,1785,0.0,453,0.0,461,0.0,1764,0.0,253514,2.0,285768,2.2,119694,0.9,37348,0.3,44642,0.3,12680,0.1,12783977,12783977,10648247,83.3,1577690,12.3,94287,0.7,465483,3.6,15038,0.1,294130,2.3,12783977,12783977,843164,6.6,146348,1.1,431155,3.4,19842,0.2,245819
40,Rhode Island,1054491,854026,81.0,68886,6.5,5130,0.5,251,0.0,19,0.0,11,0.0,11,0.0,34598,3.3,5971,0.6,8694,0.8,2957,0.3,975,0.1,1725,0.2,2267,0.2,12009,1.1,575,0.1,111,0.0,220,0.0,69,0.0,175,0.0,61218,5.8,30058,2.9,9071,0.9,3843,0.4,4573,0.4,2306,0.2,1054491,1054491,876862,83.2,84942,8.1,13483,1.3,41078,3.9,2136,0.2,68656,6.5,1054491,1054491,148375,14.1,10654,1.0,37601,3.6,1931,0.2,98189
