Port Code,Street Address,City,State,Postal Code,Field
1904,Concourse A/FIS,Birmingham,AL,35212,New Orleans
1910,2850 Wall-Triana Highway,Huntsville,AL,35824,New Orleans
1901,150 N. Royal Street,Mobile,AL,36602,New Orleans
3104,Milepost 1221.8 Alaska Hwy,Alcan,AK,99780,Portland
3126,605 W. 4th Ave.,Anchorage,AK,99501,Portland
3106,"Mile 40, Haines Hwy.",Dalton Cache,AK,99827,Portland
3111,6450 Airport Way,Fairbanks,AK,99709,
3101,1875 Shell Simmons Dr. Suite 116,Juneau,AK,99801,Portland
3102,648 Mission St.,Ketchikan,AK,99901,Portland
3127,c/o 605 W. 4th Ave.,Anchorage,AK,99501,Portland
3128,113 W. Front Street,Nome,AK,99762,Portland
3115,329 Harbor Dr.,Sitka,AK,99835,Portland
3103,"Milepost 6.8, Klondike Hwy.",Skagway,AK,99840,Portland
3107,"c/o 605 West 4th Avenue, Suite 230",Anchorage,AK,99501,Portland
3105,431 Zimovia Highway,Wrangell,AK,99929,Portland
2601,First Street and Pan American Avenue,Douglas,AZ,85607,Tucson
2602,Highway 85 & Border,Lukeville,AZ,85341,Tucson
2603,3867 S. Towner Avenue,Naco,AZ,85620,Tucson
2604,9 North Grand Ave.,Nogales,AZ,85621,Tucson
2605,"3002 E. Old Tower Road, Suite 400",Phoenix,AZ,85034,Tucson
2682,5803 S. Sossaman Rd.,Mesa,AZ,85212,Tucson
2608,Highway 95 & International Border,San Luis,AZ,85349,Tucson
2606,Highway 286 and International Border,Sasabe,AZ,85633,Tucson
2681,15000 N. Airport Drive,"Scottsdale,",AZ,85260,Tucson
2609,7150 S. Tucson Boulevard,Tucson,AZ,85706,Tucson
2003,1000 Temple Street,Little Rock,AR,72202,New Orleans
2084,#5 Hammerschmidt Drive,Rogers,AR,72756,New Orleans
2502,235 Andrade Road,Winterhaven,CA,92283,San Diego
2507,"1699 East Carr, Rd",Calexico,CA,92231,San Diego
2503,200 East First Street,Calexico,CA,92231,San Diego
2802,"317 3rd Street, Suite 6",Eureka,CA,95501,San Francisco
2803,5177 E. Clinton Way,Fresno,CA,93727,San Francisco
2720,11099 South La Cienega Blvd.,Los Angeles,CA,90045,Los Angeles
2704,301 E. Ocean Blvd.,Long Beach,CA,90802,Los Angeles
2721,2222 E. Airport Drive,Ontario,CA,91761,Los Angeles
2506,9777 Via De La Amistad,San Diego,CA,92154,San Diego
2781,210 N. El Cielo Road,Palm Springs,CA,92262,Los Angeles
2713,720 W. Hueneme Road,Oxnard,CA,93033,Los Angeles
2835,6900 Airport Boulevard,Sacramento,CA,95837,San Francisco
2782,265 N. Leland Norton Way,San Bernardino,CA,92408,Los Angeles
2501,610 W. Ash Street Suite 1000,San Diego,CA,92101,San Diego
2801,555 Battery Street,San Francisco,CA,94111,San Francisco
2809,"555 Battery Street, Room 319",San Francisco,CA,94111,San Francisco
2834,2065 Airport Blvd.,San Jose,CA,95110,San Francisco
2504,720 East San Ysidro Blvd,San Ysidro,CA,92173,San Diego
2505,405 Tecate Rd,Tecate,CA,91980,San Diego
2783,18374 Readiness Street,Victorville,CA,92394,Los Angeles
3384,"7601 S. Peoria St., D-16",Englewood,CO,80012,Portland
3307,18300 E. 71st Ave.,Denver,CO,80249,Portland
